date,produit,categorie,ville,quantite,montant
2026-01-01,Laptop,Informatique,Casablanca,1,7000
2026-01-06,Souris,Informatique,Rabat,2,300
2026-01-11,Chaise,Mobilier,Marrakech,3,2700
2026-01-16,Bureau,Mobilier,Tanger,2,5000
2026-01-21,Écran,Informatique,Casablanca,2,4400
2026-01-26,Casque,Informatique,Rabat,5,3000
2026-01-31,Laptop,Informatique,Marrakech,2,14000
2026-02-05,Souris,Informatique,Tanger,8,1200
2026-02-10,Chaise,Mobilier,Casablanca,4,3600
2026-02-15,Bureau,Mobilier,Rabat,3,7500
2026-02-20,Écran,Informatique,Marrakech,2,4400
2026-02-25,Casque,Informatique,Tanger,6,3600
2026-03-02,Laptop,Informatique,Casablanca,1,7000
2026-03-07,Clavier,Informatique,Rabat,5,2000
2026-03-12,Bureau,Mobilier,Marrakech,2,5000
2026-03-17,Écran,Informatique,Tanger,3,6600
2026-03-22,Chaise,Mobilier,Casablanca,5,4500
2026-03-27,Casque,Informatique,Rabat,7,4200
2026-04-01,Laptop,Informatique,Marrakech,3,21000
2026-04-06,Souris,Informatique,Tanger,10,1500
2026-04-11,Bureau,Mobilier,Casablanca,4,10000
2026-04-16,Écran,Informatique,Rabat,4,8800
2026-04-21,Chaise,Mobilier,Marrakech,6,5400
2026-04-26,Casque,Informatique,Tanger,8,4800
2026-05-01,Laptop,Informatique,Casablanca,2,14000
2026-05-06,Souris,Informatique,Rabat,12,1800
2026-05-11,Bureau,Mobilier,Marrakech,3,7500
2026-05-16,Écran,Informatique,Tanger,2,4400
2026-05-21,Chaise,Mobilier,Casablanca,7,6300
2026-05-26,Casque,Informatique,Rabat,9,5400
2026-05-31,Laptop,Informatique,Marrakech,2,14000
2026-06-05,Clavier,Informatique,Tanger,8,3200
2026-06-10,Bureau,Mobilier,Casablanca,5,12500
2026-06-15,Écran,Informatique,Rabat,3,6600
2026-06-20,Chaise,Mobilier,Marrakech,4,3600
2026-06-25,Casque,Informatique,Tanger,10,6000
2026-06-30,Laptop,Informatique,Casablanca,2,14000
